Country,Revenue,Orders,UnitsSold,Customers,AverageOrderValue
United Kingdom,8737639.593,17904,4639168,3916,488.0272337466488
Netherlands,283889.34,93,200258,9,3052.573548387097
EIRE,276083.36,284,147001,3,972.1245070422535
Germany,205381.15,443,118032,94,463.61433408577875
France,184671.5,383,111228,87,482.1710182767624
Australia,138103.81,56,83890,9,2466.1394642857144
Spain,55706.56,88,27724,30,633.0290909090909
Switzerland,53065.6,50,30515,21,1061.312
Japan,37416.369999999995,19,26016,8,1969.282631578947
Belgium,36927.34,98,22962,25,376.8095918367347
Sweden,36828.83,34,36037,8,1083.2008823529413
Norway,32454.64,32,19276,10,1014.2075
Portugal,26951.11,50,16126,19,539.0222
Channel Islands,20147.54,25,9484,9,805.9016
Finland,18344.88,40,10608,12,458.622
Denmark,18211.34,18,8193,9,1011.7411111111111
Italy,15820.24,35,8067,14,452.00685714285714
Cyprus,13167.16,14,6338,8,940.5114285714286
Hong Kong,9744.19,7,4708,0,1392.027142857143
Singapore,9120.39,4,5234,1,2280.0975
Austria,8742.68,17,4844,11,514.275294117647
Israel,8129.41,8,4406,3,1016.17625
Poland,6974.65,19,3675,6,367.08684210526314
Unspecified,4740.94,13,3295,4,364.68769230769226
Greece,4425.52,5,1550,4,885.104
Iceland,4310.0,7,2458,1,615.7142857142857
USA,3580.39,5,2458,4,716.078
Canada,3115.44,5,2762,4,623.088
Malta,2070.59,5,958,2,414.11800000000005
United Arab Emirates,1864.78,2,981,2,932.39
Lebanon,1693.88,1,386,1,1693.88
Lithuania,1661.06,4,652,1,415.265
European Community,1159.25,3,490,1,386.4166666666667
Brazil,1143.6,1,356,1,1143.6
RSA,1002.3100000000001,1,351,1,1002.3100000000001
Czech Republic,786.74,2,670,1,393.37
Bahrain,754.14,3,314,2,251.38
Saudi Arabia,145.92,1,80,1,145.92
