StockCode,ProductName,Revenue,UnitsSold,Orders
22423,REGENCY CAKESTAND 3 TIER,174156.54,13851,1988
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1
85123A,WHITE HANGING HEART T-LIGHT HOLDER,104462.75,37641,2198
47566,PARTY BUNTING,99445.23,18283,1685
85099B,JUMBO BAG RED RETROSPOT,94159.81,48371,2089
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.92000000001,78033,247
23084,RABBIT NIGHT LIGHT,66870.03,30739,994
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,64875.590000000004,19329,1160
84879,ASSORTED COLOUR BIRD ORNAMENT,58927.62,36362,1455
79321,CHILLI LIGHTS,54096.36,10302,661
22502,PICNIC BASKET WICKER SMALL,51408.770000000004,1937,463
22197,POPCORN HOLDER,51334.47,56898,1392
23298,SPOTTY BUNTING,43148.18,8466,1146
22386,JUMBO BAG PINK POLKADOT,42401.01,21448,1218
23203,JUMBO BAG VINTAGE DOILY ,42030.340000000004,20485,1231
21137,BLACK RECORD COVER FRAME,40633.38,11651,375
23284,DOORMAT KEEP CALM AND COME IN,38133.64,5487,728
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,38108.89,7483,1385
22960,JAM MAKING SET WITH JARS,37082.13,8695,1132
82484,WOOD BLACK BOARD ANT WHITE FINISH,35966.92,6012,685
20725,LUNCH BAG RED RETROSPOT,35862.36,19432,1565
22178,VICTORIAN GLASS HANGING T-LIGHT,33146.82,24275,1037
22114,HOT WATER BOTTLE TEA AND SYMPATHY,32973.44,5740,643
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,32843.840000000004,10594,820
22112,CHOCOLATE HOT WATER BOTTLE,32826.58,6017,858
85099F,JUMBO BAG STRAWBERRY,32495.59,17237,812
22469,HEART OF WICKER SMALL,32094.6,17963,1201
23245,SET OF 3 REGENCY CAKE TINS,31118.550000000003,6345,873
21931,JUMBO STORAGE BAG SUKI,30764.01,13651,1184
22727,ALARM CLOCK BAKELIKE RED ,30644.87,7800,1051
23199,JUMBO BAG APPLES,30450.690000000002,14908,978
22470,HEART OF WICKER LARGE,30098.11,9887,925
22355,CHARLOTTE BAG SUKI DESIGN,29254.149999999998,18124,882
22699,ROSES REGENCY TEACUP AND SAUCER ,29056.920000000002,9864,1065
23355,HOT WATER BOTTLE KEEP CALM,28718.800000000003,5816,782
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,28577.1,12574,1175
20685,DOORMAT RED RETROSPOT,28049.54,4088,696
85099C,JUMBO  BAG BAROQUE BLACK WHITE,28047.74,13900,933
22457,NATURAL SLATE HEART CHALKBOARD ,27991.61,9119,1249
23201,JUMBO BAG ALPHABET,27850.83,13366,906
22726,ALARM CLOCK BAKELIKE GREEN,27155.28,6419,980
21175,GIN + TONIC DIET METAL SIGN,27029.97,12207,809
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,26425.579999999998,9461,449
21915,RED  HARMONICA IN BOX ,26294.08,21903,661
22666,RECIPE BOX PANTRY YELLOW DESIGN,26219.95,8269,1111
84946,ANTIQUE SILVER T-LIGHT GLASS,25843.38,19209,905
22629,SPACEBOY LUNCH BOX ,25719.02,14249,900
22961,JAM MAKING SET PRINTED,25637.78,16396,1162
48138,DOORMAT UNION FLAG,25534.15,3751,616
21181,PLEASE ONE PERSON METAL SIGN,25225.480000000003,12274,845
23173,REGENCY TEAPOT ROSES ,24879.13,2766,416
21621,VINTAGE UNION JACK BUNTING,24525.83,2787,475
22111,SCOTTIE DOG HOT WATER BOTTLE,24455.39,4655,771
